,Accession,BioProjects,BioSample accession,Completeness,Gene count,Geographic Location,Geographic Region,Host Common Name,Host Infraspecific Names Breed,Host Infraspecific Names Cultivar,Host Infraspecific Names Ecotype,Host Infraspecific Names Isolate,Host Infraspecific Names Sex,Host Infraspecific Names Strain,Host Name,Host Pangolin Classification,Host Taxonomic ID,Is Annotated,Is Complete,Is Lab Host,Is Vaccine Strain,Isolate Collection date,Isolate Lineage,Isolate Lineage source,Lab Host,Length,Mature peptide count,Molecule type,Nucleotide completeness,Protein count,Purpose of Sampling,Release date,Source database,SRA Accessions,Submitter Affiliation,Submitter Country,Submitter Names,Update date,Virus Common Name,Virus Infraspecific Names Breed,Virus Infraspecific Names Cultivar,Virus Infraspecific Names Ecotype,Virus Infraspecific Names Isolate,Virus Infraspecific Names Sex,Virus Infraspecific Names Strain,Virus Name,Virus Pangolin Classification,Virus Taxonomic ID
101,MH603822.1,,,COMPLETE,,"Iran: Isfahan, Fooladshahr",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2016,6TE,plant leaf,,2713,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
102,MH603821.1,,,COMPLETE,,"Iran: Kerman, Kerman",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2016,2UK,plant leaf,,2753,,,,6,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
105,MH603818.1,,,COMPLETE,,"Iran: Kuzestan, Behbahan",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2015,C2,plant leaf,,2765,,,,6,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
106,MH603817.1,,,COMPLETE,,"Iran: Fars, Shiraz",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2015,SH10,plant leaf,,2729,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
108,MH603815.1,,,COMPLETE,,"Greece: Pellas, Agios Georgios",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,E215,plant leaf,,2734,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
109,MH603814.1,,,COMPLETE,,"Greece: Pellas, Apsalos",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2016,MAP4,plant leaf,,2729,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
110,MH603813.1,,,COMPLETE,,"Greece: Thessaloniki, Nymfopetra",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,E221,plant leaf,,2730,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
111,MH603812.1,,,COMPLETE,,"France: Provence, Laragne",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,LARAGNE5,plant leaf,,2762,,,,6,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
112,MH603811.1,,,COMPLETE,,"France: Occitanie, Druelle",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,MS2,plant leaf,,2743,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
113,MH603810.1,,,COMPLETE,,"France: Alsace, Entzeim",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2017,ENTZ2,plant leaf,,2743,,,,7,,2018-11-06T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Davoodi,Z.,Bejerman,N.,Richet,C.,Filloux,D.,Kumari,S.G.,Chatzivassiliou,E.K.,Galzi,S.,Julian,C.,Samarfard,S.,Trucco,V.,Giolitti,F.,Fiallo-Olive,E.,Navas-Castillo,J.,Asaad,N.,Moukahel,A.R.,Hijazi,J.,Mghandef,S.,Heydarnejad,J.,Massumi,H.,Varsani,A.,Dietzgen,R.G.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Dietzgen,R.",2018-11-06T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
115,MH085200.1,,,COMPLETE,,"Iran: Western Azerbaijan, Urmia",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2015-05-31,CO7,plant leaf,,2712,,,,7,,2018-08-22T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Kumari,S.G.,Moukahel,A.R.,Richet,C.,Galzi,S.,Filloux,D.,Roumagnac,P.,Asaad,N.,Hijazi,J.,Mghandef,S.,Davoodi,Z.,Heydarnejad,J.,Massumi,H.",2018-08-22T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
117,MH020806.1,,,COMPLETE,,"Lebanon: West Beka'a Valley, Mansoura",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2017-05-05,Lal22-17,plant leaf,,2726,,,,7,,2018-08-22T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Kumari,S.G.,Moukahel,A.R.,Richet,C.,Galzi,S.,Filloux,D.,Roumagnac,P.,Asaad,N.,Hijazi,J.,Mghandef,S.,Kumari,S.",2018-08-22T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
118,MH020805.1,,,COMPLETE,,"Jordan: Jordan valley, Deir Alla",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2017-05-10,JoAl28-17,plant leaf,,2728,,,,7,,2018-08-22T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Kumari,S.G.,Moukahel,A.R.,Richet,C.,Galzi,S.,Filloux,D.,Roumagnac,P.,Asaad,N.,Hijazi,J.,Mghandef,S.,Kumari,S.",2018-08-22T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
119,MH020804.1,,,COMPLETE,,"Tunisia: Ariana Governorate, Kelaat El Andaluus",Africa,,,,,,,,Medicago sativa,,3879.0,True,,,,2017-04-11,Tual6-17,plant leaf,,2745,,,,7,,2018-08-22T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Kumari,S.G.,Moukahel,A.R.,Richet,C.,Galzi,S.,Filloux,D.,Roumagnac,P.,Asaad,N.,Hijazi,J.,Mghandef,S.,Kumari,S.",2018-08-22T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
120,MH020803.1,,,COMPLETE,,"Syria: Hama Governorate, Mahrusah",Asia,,,,,,,,Medicago sativa,,3879.0,True,,,,2017-06-20,SyAl37-17,plant leaf,,2730,,,,7,,2018-08-22T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Kumari,S.G.,Moukahel,A.R.,Richet,C.,Galzi,S.,Filloux,D.,Roumagnac,P.,Asaad,N.,Hijazi,J.,Mghandef,S.,Kumari,S.",2018-08-22T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
121,MG792053.1,,,COMPLETE,,Argentina,South America,,,,,,,,Medicago sativa,,3879.0,True,,,,2016-11,Emilia,,,2751,,,,7,,2019-02-23T00:00:00Z,GenBank,,"IPAVE-CIAP-INTA, Phytovirology",Argentina,"Bejerman,N.,Samarfard,S.,Trucco,V.,de Breuil,S.,Dietzgen,R.,Giolitti,F.",2019-02-23T00:00:00Z,,,,,,,,Alfalfa leaf curl virus,,1306546
155,KY569633.1,,,COMPLETE,,India: Jharkhand,Asia,,,,,,,,Vigna unguiculata,,3917.0,True,,,,2012-10,FbSLCVGUM19,plant leaf,,2752,,,,2,,2017-03-11T00:00:00Z,GenBank,,"Indian Institute of Technology Guwahati, Bioscience & Bioengineering",India,"Kumar,S.,Tanti,B.,Mukherjee,S.K.,Sahoo,L.",2017-03-11T00:00:00Z,,,,,,,,French bean severe leaf curl virus,,1218727
157,KT964084.1,,,PARTIAL,,"South Africa: Western Cape, UWC",Africa,,,,,,,,Euphorbia caput-medusae,,212864.0,True,,,,2015-07-01,UWCM13_2015,plant leaf,,407,,,,1,,2016-04-17T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Hartnaby,P.,Frilander,M.J.,Garnier,M.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-26T00:00:00Z,,,,,,,,Euphorbia caput-medusae latent virus,,1853865
172,KT964069.1,,,PARTIAL,,"South Africa: Western Cape, Paternoster",Africa,,,,,,,,Euphorbia caput-medusae,,212864.0,True,,,,2012-10-01,CM100,plant leaf,,407,,,,1,,2016-04-17T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Hartnaby,P.,Frilander,M.J.,Garnier,M.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-26T00:00:00Z,,,,,,,,Euphorbia caput-medusae latent virus,,1853865
175,KT964066.1,,,PARTIAL,,"South Africa: Western Cape, Silver stream",Africa,,,,,,,,Euphorbia caput-medusae,,212864.0,True,,,,2012-10-01,CM68,plant leaf,,407,,,,1,,2016-04-17T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Hartnaby,P.,Frilander,M.J.,Garnier,M.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-26T00:00:00Z,,,,,,,,Euphorbia caput-medusae latent virus,,1853865
180,KT214427.1,,,PARTIAL,,France: Saint Sulpice sur Leze,Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2014-07-07,SSL14_Toul6,plant leaf,,539,,,,1,,2016-05-01T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-01T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
185,KT214422.1,,,PARTIAL,,France: Lagrace Dieu,Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2014-07-07,LD14_Lag4,plant leaf,,539,,,,1,,2016-05-01T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-01T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
188,KT214419.1,,,PARTIAL,,France: La Salvetat-sur-Agout,Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2014-07-07,SAL14_Pru4,plant leaf,,539,,,,1,,2016-05-01T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-01T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
189,KT214418.1,,,PARTIAL,,"France: Montpellier, Montferrier",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2014-07-07,MON14_Pru3,plant leaf,,539,,,,1,,2016-05-01T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-01T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
191,KT214416.1,,,PARTIAL,,"France: Montpellier, Lattes",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2014-07-07,LAT14_Lat9,plant leaf,,539,,,,1,,2016-05-01T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-01T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
197,KT214410.1,,,PARTIAL,,"France: Montpellier, Assas",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2014-07-07,ASS14_Assas3,plant leaf,,539,,,,1,,2016-05-01T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-01T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
198,KT214409.1,,,PARTIAL,,"France: Camargue, Petit Bastiere",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2014-03-07,PB14_GS19,plant leaf,,539,,,,1,,2016-05-01T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-01T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
201,KT214406.1,,,PARTIAL,,"France: Camargue, Gageron",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2014-03-07,GAG14_LUZ195,plant leaf,,539,,,,1,,2016-05-01T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-01T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
206,KT214401.1,,,PARTIAL,,"France: Camargue, Albaron",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2014-03-07,ALB14_LUZ156,plant leaf,,539,,,,1,,2016-05-01T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-01T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
209,KT214398.1,,,PARTIAL,,"France: Camargue, Le Sambuc",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2014-03-07,ARM14_LUZ123,plant leaf,,539,,,,1,,2016-05-01T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-01T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
213,KT214394.1,,,PARTIAL,,Spain: Aragon,Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,,Spain_0913*49,plant leaf,,539,,,,1,,2016-05-01T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-01T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
234,KT214373.1,,,COMPLETE,,"France: Camargue, Vauvert",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2014-03-07,VAU14_LUZ142,plant leaf,,2755,,,,6,,2016-05-01T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-01T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
249,KT214358.1,,,COMPLETE,,"France: Camargue, Tour du Valat",Europe,,,,,,,,Medicago sativa,,3879.0,True,,,,2012-06-01,TDV12_48-2A,plant leaf,,2765,,,,5,,2016-05-01T00:00:00Z,GenBank,,"CIRAD, BIOS",France,"Bernardo,P.,Muhire,B.,Francois,S.,Deshoux,M.,Hartnady,P.,Farkas,K.,Kraberger,S.,Filloux,D.,Fernandez,E.,Galzi,S.,Ferdinand,R.,Granier,M.,Marais,A.,Monge Blasco,P.,Candresse,T.,Escriu,F.,Varsani,A.,Harkins,G.W.,Martin,D.P.,Roumagnac,P.,Frilander,M.J.,Monge,P.,Peterschmitt,M.,Laine,A.L.",2016-05-01T00:00:00Z,,,,,,,,Capulavirus medicagonis,,1306546
262,HF921477.1,,,COMPLETE,,South Africa:Western Cape,Africa,,,,,,,,Euphorbia caput-medusae,,212864.0,True,,,,2011-08,Lap11,plant leaf,,2650,,,,7,,2013-07-05T00:00:00Z,GenBank,,"Roumagnac P., BIOS, CIRAD, TA A-54/K Camp. Int. de Montferrier-Baillarguet. Montpellier, F-34498",France,"Bernardo,P.,Golden,M.,Akram,M.,Naimuddin,A.,Nadarajan,N.,Fernandez,E.,Granier,M.,Rebelo,A.G.,Peterschmitt,M.,Martin,D.P.,Roumagnac,P.",2013-09-23T00:00:00Z,,,,,,,,Euphorbia caput-medusae latent virus,,1853865
